Min Index,Min Value,Remap,xbeta
1,0,01 > 1:     0-3K,-0.231618786
2,3000,02 > 1:  3K-4.5K,-0.095711466
3,4500,03 > 1:  4.5K-6K,-0.054892483
4,6000,04 > 1:  6K-7.5K,-0.025039282
5,7500,b05> 1: 7.5K-10K,0
6,10000,06 > 1:10K-12.5K,0.023090949
7,12500,07 > 1: 12.K-15K,0.030285516
8,15000,08 > 1:  15K-20K,0.002566377
9,20000,09 > 1:  20K-25K,0.017023925
10,25000,10 > 1:     25K+,-0.045549123
11,0,11 > 2:     0-6K,-0.124263764
12,6000,12 > 2:   6K-10K,0.004603833
13,10000,13 > 2:  10K-16K,0.041778846
14,16000,14 > 2:  16K-25K,0.031240068
15,25000,15 > 2:  25K-40K,0.018890229
16,40000,16 > 2:     40K+,0
