Score Beg,Score End,Credit Group,xbeta
100,109,01>  1,-0.45096189
110,127,02>  2,-0.330317238
128,154,03>  3,-0.271009789
155,190,04>  4,-0.170281213
191,235,05>  5,-0.152906249
236,280,06>  6,-0.101783351
281,334,07>  7,-0.064599886
335,388,08>  8,-0.049682093
389,461,09>  9,-0.026624146
462,551,b10>10,0
552,640,11> 11,0.013746178
641,711,12> 12,0.039462062
712,765,13> 13,0.037491165
766,819,14> 14,0.048583313
820,867,15> 15,0.042664736
868,909,16> 16,0.054490926
910,946,17> 17,0.04277744
947,971,18> 18,0.041051465
972,987,19> 19,0.088869809
988,999,20> 20,0.086642455
,,98> TH,-0.11991733
,,99> NH,0.138881498
