zip_code,landsqmi,watersqmi,cen10pop,lat,long
00601,64.35,0.31,18570,18.180556,-66.749961
00602,30.61,1.72,41520,18.362268,-67.17613
00603,31.61,0.07,54689,18.455183,-67.119887
00606,42.31,0,6615,18.158345,-66.932911
00610,35.92,1.61,29016,18.290955,-67.125868
00612,67.61,3.79,67010,18.402239,-66.7114
00616,11.53,0.06,11017,18.420413,-66.671979
00617,15.19,1.54,24597,18.445146,-66.559696
00622,28.99,0.65,7853,17.991245,-67.153993
00623,37.98,0.63,43061,18.083435,-67.153877
00624,43.16,0.97,26241,18.063275,-66.715966
00627,46.35,1.35,35159,18.41503,-66.861879
00631,4.02,0.26,1852,18.190607,-66.832041
00637,34.45,0.01,25287,18.076713,-66.947389
00638,66.04,0.19,18941,18.291088,-66.513306
00641,93.53,1.34,31191,18.262962,-66.71402
00646,20.7,1.28,38199,18.433167,-66.285941
00647,15.2,3.09,6172,17.963614,-66.947127
00650,30.52,0.22,14998,18.349416,-66.578079
00652,6.91,0.01,4715,18.451935,-66.603113
00653,15.24,2.01,13307,17.985452,-66.888933
00656,32.42,1.68,21481,18.053539,-66.792931
00659,41.78,1.17,41953,18.407221,-66.809008
00660,11.34,0,17250,18.134645,-67.116158
00662,44.37,2.06,43282,18.467481,-67.015974
00664,45.52,0,16784,18.213419,-66.589613
00667,60.31,10.91,25968,18.003422,-67.03581
00669,61.55,0.06,29744,18.270899,-66.866375
00670,45.57,0.14,9807,18.236832,-66.990114
00674,44.94,2.67,44457,18.422908,-66.489337
00676,50.44,0.02,40316,18.377751,-67.080344
00677,14.34,1.39,15272,18.33256,-67.227006
00678,26.36,1.47,27819,18.434099,-66.927384
00680,64.19,7.66,58140,18.181938,-67.133802
00682,14.42,2.44,32615,18.221443,-67.156062
00683,52.19,0.01,33772,18.1078,-67.037263
00685,77.53,0.79,42831,18.332927,-66.959875
00687,38.87,0.05,32610,18.318386,-66.418034
00688,31.82,0.03,13543,18.382264,-66.626438
00690,2.82,0,6255,18.49551,-67.098671
00692,26.76,0.77,37511,18.410187,-66.336556
00693,39.32,1.41,61038,18.423023,-66.39723
00694,0.79,0.76,328,18.48237,-66.391079
00698,69.62,3,41782,18.064848,-66.856319
00703,29.67,0.01,28605,18.248401,-66.130662
00704,4.88,0.68,8577,17.96577,-66.219555
00705,31.95,0.03,25598,18.128961,-66.266683
00707,21.07,1.47,12225,18.013648,-65.920712
00714,14.62,0.02,19566,18.000198,-66.042943
00715,7.89,0.06,3656,18.011233,-66.560065
00716,8.53,3.08,33779,17.990567,-66.607542
00717,2.09,0.04,18457,18.003222,-66.614037
00718,45.24,1.33,26606,18.231988,-65.759623
00719,28,0.35,30990,18.289927,-66.25344
00720,59.6,0.11,23129,18.217946,-66.428076
00723,46.16,0.51,19277,18.043822,-66.015578
00725,42.16,0.46,89374,18.218819,-66.042375
00727,21.55,0.01,58382,18.215308,-66.073565
00728,15.65,8.35,44908,17.989853,-66.664116
00729,33.96,0.14,53750,18.329829,-65.885142
