ZIP_Code,zip5_HH,charity,church,education,political,assets,savings,checking,USbond,securities,coll_tuition,elem_HS,other_gift
00501,0,,,,,,,,,,,,
01001,6873,282.2,777,64.7,11.3,79032.6,13348,21444.7,500.2,44149.5,949.3,179.1,569.8
01002,9671,276.2,685.4,64.5,9.5,90692.6,14514.4,28035.8,494.7,48197.7,1314.9,171.1,559.9
01003,0,,,,,,,,,,,,
01004,0,,,,,,,,,,,,
01005,1766,338.4,844.4,81.8,12.8,101825,14936.6,30940.3,613.9,56001.3,1078,224.4,582.7
01007,5703,334.4,833.8,80.5,12.3,101407.2,15116.8,31040.4,609.1,55274.3,1124.4,227.8,572.4
01008,649,319.1,860.7,74.4,12.4,88181,14259.9,24360.1,565.2,49358.4,1014.3,214.9,581.7
01009,282,283.9,768.5,65.3,10.5,81064.8,12977.2,22803.7,506.4,45316.3,925.5,179.1,535.4
01010,1374,369.5,868.2,90.8,13.4,115732.1,15999.8,37154.5,684.9,62831.9,1140.9,235.9,596.1
01011,370,294.6,819.7,67,11.7,79714.6,13489.3,21136.7,523.6,44913.2,961.4,193.4,567.8
01012,318,300.8,823.5,69.1,11.5,83011.5,13467,22947.5,544.1,46511.8,957.2,199.8,564
01013,9512,208.5,660.5,45.2,8.4,55800.2,10727.3,13083.1,373.6,31962.9,800.1,136.6,469.9
01014,0,,,,,,,,,,,,
01020,13273,244.3,724.9,54.1,9.9,65554.3,11919.9,16359.2,430,37182.9,869,154,527.3
01021,0,,,,,,,,,,,,
01022,1084,247.3,761.9,53.3,10.2,62024.3,11943.8,14046.8,432.8,35690.6,832.7,154.4,546.3
01026,448,276.3,771.5,62,10.9,75962.5,12722.7,20365.8,503.2,42816,913.3,175.1,543.7
01027,7982,267.5,750.4,60.4,10.4,74845.4,12940,19798,480.3,41994.6,939.6,172,540.8
01028,5658,370.2,874.1,91,13.7,114789.8,16270.7,36597.5,664.4,62134.5,1173.2,240.5,633.9
01029,308,299.9,818.8,68.7,11,82990.7,13147.9,23379.5,521.8,46557.5,953.6,187.7,575.4
01030,4595,317.5,826.8,75.2,12.3,92374.7,14576.9,26765,566.3,50988.1,1066.8,212.5,576.6
01031,590,317,779.1,76.8,11.3,99327.4,14135.1,31123.7,585.1,54489.9,1042.6,201.8,548.6
01032,105,302.9,832.4,69.6,11.5,83398.1,13486.8,22984.1,537.9,46818.2,957.4,204.6,560.4
01033,2313,315.8,842.2,74.3,12.3,89691,14383.9,25429.6,561.2,49773.5,1034,214.1,582.6
01034,614,325.7,854.5,77.3,12.4,93696.8,14379,27285.6,581.8,52038.5,1033,216.7,581.2
01035,2228,308,802.3,71.8,12,90020.4,14603.6,25819.3,534.2,49435.5,1108.5,194.2,609
01036,1766,378.8,898.9,92.8,13.7,116488.7,16312.7,37016.8,682.8,63399.1,1174.4,243.7,624.5
01037,276,358.9,838.6,88.7,12.8,113899,15417.9,37005.8,665,61957.7,1131.8,228.1,583.7
01038,1169,292,771.5,67.7,11.2,84445.1,13335.2,24315.8,523.3,46944.4,960.3,178.7,564.3
01039,698,305.9,775.2,72,11.4,92280.8,13920.2,27656.5,567.2,50885.6,1007.1,187.9,561.1
01040,15779,200.6,625.4,43.5,7.9,55902.2,10518.4,13634.8,369.3,31880,822.1,132.5,449.6
01041,0,,,,,,,,,,,,
01050,888,276.1,786,62.2,10.9,73355.7,12959.1,18658.5,496.4,41513.2,931.8,190.9,532.9
01053,708,313.1,818.6,72.8,11.9,90682.7,14229.7,26083,563.7,50270.2,1019.6,197.7,587.6
01054,917,344.5,834.9,83.1,12.7,106522.6,15336.1,33077.5,631.8,58168.1,1132.8,216,594.9
01056,8118,297.5,808.8,69,11.7,82555.7,13514.2,22862,515.6,46111.2,955.8,192.7,575.3
01057,3399,314,821.2,74.2,12.1,91240.9,14192,26518.1,569.1,50520.7,1026.3,209.4,562.3
01059,0,,,,,,,,,,,,
01060,6780,257.7,672.6,59.5,9.4,80784.1,12927.1,23551.6,480.4,44357.5,1012.1,153.8,505.3
01061,0,,,,,,,,,,,,
01062,4424,310.4,789.7,73.2,11.7,93538.9,14332.4,27901.3,566.4,51295.4,1061.3,195.7,572.1
01063,0,,,,,,,,,,,,
01066,0,,,,,,,,,,,,
01068,689,365.9,896.7,88.4,13.6,109224.9,15848.1,33593,653.9,59833.9,1172.9,242.5,604
01069,3438,256.2,736.7,57.7,10.2,70325,12368.1,18196,457.2,39691.1,897.8,169.2,523.7
01070,192,298.5,798.9,69,10.8,85728.5,13297.7,24855.5,550.6,47701.8,948.4,189.8,551.4
01071,600,315.7,833.3,74.4,11.9,90339.3,14075.2,26085.3,566.5,50171.4,1015.4,210.8,560.4
01072,701,340.7,840.6,81.8,12.5,104332.9,15110.4,32055.8,633.9,57184.1,1100.9,220.8,582.2
01073,2293,348.7,866.3,84.1,13,103374.9,15259.7,31427.9,627.5,56758.3,1103.9,230.7,592.9
01074,0,,,,,,,,,,,,
01075,6707,295.6,795.5,68.7,11.6,84463,13735.6,23771.1,525.3,46894.9,976.5,187.4,578
01077,3864,342,843.8,82.5,12.5,104122.5,15132.7,32190.6,622.3,56974.8,1082.4,223.4,587.4
01079,0,,,,,,,,,,,,
01080,1050,234.5,717.1,51.2,9.7,59992.4,11278.3,14206.6,403.6,34426.8,842.4,152.2,513.6
01081,736,306.5,816.7,71.6,11.8,87524.8,13830.8,24936.3,556.8,48695.8,986.5,203.5,554.5
01082,4171,266.5,741.5,60.9,10.4,74967.2,12528.7,20425,478.4,42049.8,920.2,171.6,527.8
01083,0,,,,,,,,,,,,
01084,68,299.2,822,68.6,11.4,82265,13396.9,22642.2,541.1,46138.1,951.3,198.6,563.3
01085,16044,290.3,768,68,10.9,85360.2,13491.8,24731.7,523.3,47223.6,993,189.6,543.7
01088,297,315.5,786.6,75.1,11.8,95204.6,13936,29122.5,570.3,52408.9,1042.9,187.6,567.1
01089,12360,258.1,723.6,58.9,9.9,74217.2,12768.2,20418.6,459.5,41100.7,968.8,166.4,535.4
01090,0,,,,,,,,,,,,
01092,369,300.8,760.3,72.6,11.2,93832.3,13724.1,28581.5,550.3,51728.9,1022.2,195.6,541.2
01093,0,,,,,,,,,,,,
01094,0,,,,,,,,,,,,
01095,5453,397.8,897.8,99.5,14.1,128149,17101,42616.9,723.3,68829.8,1259,253.2,640.3
01096,837,321.6,830.1,75.4,12,93503,14176.1,27519.6,584,51866.9,1004.5,205.1,574.9
01098,449,310.7,829.8,71,12,86407.3,13939.5,24180.8,560.7,48241.6,986,193.4,581.5
01101,0,,,,,,,,,,,,
01103,1500,134.4,504.6,26.7,5.1,38281.7,8296.9,8263.6,263.6,22057.3,749.8,79.3,353.7
01104,8892,168.1,626,34.4,6.8,41941.5,9249.5,8493.2,308.4,24332,719.5,117.6,419.4
01105,5611,116.7,497.9,22.8,4.6,32582,7518.5,6510.5,233.5,18849.8,678.9,78.1,315.2
01106,5929,443,922.6,112.4,14.9,149303.3,18985.7,51910,804.7,78871.1,1437,281,694.2
01107,3991,149.8,548.6,30.5,5.9,40637.5,8723.5,8557.6,286.4,23595.5,731.9,106.8,371.1
01108,9844,181.3,635.4,39,6.8,50302.7,10297.8,12224.5,331.6,27932.7,852.8,130,428.9
01109,9704,117.8,638.7,24.7,4.7,29444,7357.6,5991.5,232,16393.6,617.6,96.6,310.2
01111,0,,,,,,,,,,,,
01116,0,,,,,,,,,,,,
01118,5798,249.6,776.6,56.1,9.6,67565.2,12209.5,17816.8,445.2,37429.5,919.4,171.2,519.9
01119,4981,196.6,724.5,43.1,7.9,50902.1,10136.7,12293.3,356.4,28483.2,779.4,138.7,446.4
01128,1071,264.7,825.1,60,10.6,70421.1,12769.6,18371.9,464.4,39078.8,962.5,181,538.2
01129,2889,242.6,781.8,54.6,9.3,65600.8,11900.1,17297.2,439.2,36357.2,896.3,165.6,501.8
01138,0,,,,,,,,,,,,
01139,0,,,,,,,,,,,,
01144,0,,,,,,,,,,,,
01151,3554,176.7,625.7,38.2,6.6,48639.8,9505.5,11859.5,328.9,27429.6,771.6,125.2,400.7
01152,0,,,,,,,,,,,,
01199,0,,,,,,,,,,,,
01201,20605,235.6,702.6,52.2,9.4,64258.9,11509.1,16399.6,425.4,36409.7,842.5,150.8,506.7
01202,0,,,,,,,,,,,,
01220,3847,224.9,690.6,48,9.2,57549.9,11068.1,13243.6,397.9,33226.3,782.9,139.4,511.9
01222,153,281,798.9,63.1,11.4,74817.4,12986,19326.1,497.7,42318.2,919.4,189.7,557.9
01223,1165,295.8,810.9,67.3,11.2,81156.6,13237.1,22517.3,533.6,45444.7,938.5,189.2,559.8
01224,49,323.4,828.4,77,11.8,95785.3,14233,28995.9,589.6,52776.3,1026.2,210.9,567.4
01225,1337,284.3,786.5,64.6,10.7,78122.9,12722.9,21685.1,505.4,43818.6,901.8,181.1,551.9
01226,2553,262.1,750.4,59.2,10.2,71840.9,12381.9,18987.9,473.3,40536.3,872.7,173.5,541.7
01227,0,,,,,,,,,,,,
01229,179,305.3,795.1,70.6,11.6,88579.7,13800.7,25403.7,559.3,49522.4,938.9,173.9,594.3
01230,3343,304.2,768.2,71.6,11.4,91963.2,13933.1,27516.6,560.3,50707.8,997.7,180.7,567.5
01235,1124,282.2,808,63.4,11.2,74475.9,12954.3,19149.8,497.2,42173.9,911.6,187.3,557.1
01236,748,288.7,768.4,66,11.1,81540,13291.3,22893.5,517.9,45422.6,935.9,175.8,566.5
