ZIP_Code,zip5_HH,HO_ins,Veh_ins,health_ins,pl_pension,life_ins,end_ann,vac_home,airline,funeral,hoeql_int,mortg_int
00501,0,,,,,,,,,,,
01001,6873,403.8,1096.3,2519.5,7170,376.8,353.8,333.4,469.4,79.3,57.1,3756.6
01002,9671,342,1012.1,2188.8,7125.9,343.9,323,315.9,533.6,65.7,44.8,3309.4
01003,0,,,,,,,,,,,
01004,0,,,,,,,,,,,
01005,1766,443.3,1151.9,2632.2,8319.2,422.4,396.2,394,548.1,77.2,64.6,4324.6
01007,5703,436.7,1138.6,2585.2,8340.6,420.1,394.4,391,559.7,72.9,64.2,4428.9
01008,649,455.6,1172,2696.2,8173.1,424.4,398.5,387.1,521,77,68.4,4441.9
01009,282,397.1,1088.1,2483.8,6988.9,371.7,348.7,330.1,455.4,75.4,53.7,3608.1
01010,1374,458.8,1158.1,2678.3,8689.3,442.9,415.5,420.2,586.4,78.2,66.4,4546.4
01011,370,435.9,1137.6,2630.6,7541.5,401.7,377.2,358.5,480.6,77.4,64.5,4165
01012,318,442.9,1143.7,2636.5,7583.5,404.2,379.6,361,485.2,77.5,65.3,4257.3
01013,9512,329,999,2229.5,5582.5,307.9,289.5,251,353,71,43.6,2889.1
01014,0,,,,,,,,,,,
01020,13273,371.6,1053.1,2399.1,6336.5,344.6,323.8,293.4,407.3,76.7,50.8,3298.3
01021,0,,,,,,,,,,,
01022,1084,399.4,1091,2494,6588.3,360.3,338.8,304.8,410,79.9,56.8,3607.5
01026,448,411.1,1092.7,2523,6883.7,375.8,353,331.2,440.5,79.4,58.4,3808.7
01027,7982,388.3,1079.4,2452.8,6944.8,364.2,342.1,320,450.8,74.7,55.3,3643.9
01028,5658,457.9,1163.2,2705.2,8760.8,441,413.5,419,605,82.4,64.5,4487.7
01029,308,436.7,1134.8,2643.8,7288.3,396.3,372,352.5,475.2,81.4,58.4,3903
01030,4595,429,1132.2,2599.2,8022.1,411.8,386.8,378.1,529.4,75.4,63.1,4200
01031,590,401.2,1091,2500.1,7452.5,387.9,363.9,356.5,503.1,77,53.9,3725.9
01032,105,443.3,1151.1,2654,7696.9,407.7,383.2,363.5,491.2,75.9,64.4,4248.4
01033,2313,444.1,1149.3,2653.2,8069.8,416.7,391.4,378.4,525.8,75.9,66.1,4369.1
01034,614,450,1163,2679.6,8115.7,422.6,396.7,386.9,525.3,78.2,65.5,4317.2
01035,2228,412.5,1112.7,2541.6,7818.2,396.4,372.2,365.2,532.8,79.9,57.7,3841.4
01036,1766,473.7,1188.9,2767.1,8963.5,456.3,428.1,433.9,607.5,80.8,67.6,4637.1
01037,276,440.8,1135.7,2625,8265.5,425.4,399,402.8,562.2,80,60.9,4225.6
01038,1169,403.2,1081.8,2524.8,6967,378.1,355.2,338.6,464.9,81.8,54.1,3592.9
01039,698,408.4,1094.5,2515.3,7338.3,386.2,362.2,352.4,488.7,79.4,57.1,3825.8
01040,15779,309.2,963.8,2145.1,5277.6,294.3,276.7,239.4,339.1,69.6,40.4,2746.9
01041,0,,,,,,,,,,,
01050,888,415.2,1105.4,2538.6,7214.8,385.1,361.6,339.3,456,73.1,62.7,4100.2
01053,708,432.7,1138.1,2611.3,7807.8,405.9,381.1,371.4,513.1,79.6,62.2,4068.2
01054,917,438,1144.8,2605.6,8345.9,422.3,396.4,398.5,562.6,78.7,62.7,4167.2
01056,8118,419.9,1119.6,2591.4,7402.5,392.4,368.5,351.1,484.8,79.4,58.2,3832.4
01057,3399,431.6,1132,2594.5,7848,408.7,383.7,372.6,512.3,75,63.7,4218.9
01059,0,,,,,,,,,,,
01060,6780,338.2,1016.2,2228.9,6578.8,331.6,311.2,295.2,446.7,70,45.3,3093.1
01061,0,,,,,,,,,,,
01062,4424,412.9,1106.7,2519.3,7668.3,394.6,370.5,361.9,515.2,77.4,58.6,3937.7
01063,0,,,,,,,,,,,
01066,0,,,,,,,,,,,
01068,689,473.5,1185.4,2734.2,8974.6,452.8,424.8,430.9,593,77,70,4699.8
01069,3438,379.7,1063.8,2422.8,6627.3,354.6,333.1,307,426.8,74.1,53.5,3531.8
01070,192,426.7,1111.7,2575,7198.1,392.3,368.5,350.2,468.4,80,59.6,3995.3
01071,600,438.6,1147.7,2621.9,7920.5,411.3,386.1,374.5,512.5,74,64.3,4268
01072,701,445,1151.5,2620.2,8344.7,424.5,398.5,398.6,551.3,77.7,65.2,4328.9
01073,2293,457.5,1161.9,2691.1,8476.5,436.3,409.6,408.5,562.7,77.9,67,4492.9
01074,0,,,,,,,,,,,
01075,6707,414.6,1110.9,2555.1,7426.9,388.2,364.3,346.6,489.5,79.2,58.6,3864.4
01077,3864,441.5,1147.4,2639.1,8273.2,421.5,395.4,392,552.8,78.2,62.7,4307.4
01079,0,,,,,,,,,,,
01080,1050,372.4,1045.9,2396.9,6070.1,337.5,317.2,284.3,386.4,75.8,50.1,3274.3
01081,736,432.7,1131.1,2600.2,7695,404.6,380.1,364.9,497.4,74.8,63.5,4192.9
