GLM Variable,Variable Level,Factor_M
mb_item_class,b00> Engagement Ring,1
mb_item_class,01> Ladies Ring,0.653
mb_item_class,02> Pair Earrings,0.669
mb_item_class,03> Bracelet,0.701
mb_item_class,04> Combination,0.351
mb_item_class,05> Gents Ring,0.464
mb_item_class,06> Necklace,0.329
mb_item_class,07> Gents Watch,1.646
mb_item_class,08> Ladies Watch,0.685
mb_item_class,09> Pendant,0.393
mb_item_class,10> Chain,0.383
mb_item_class,11> Other,0.187
mb_item_class,12> Wed Set,1.141
mb_item_class,13> Stone_SingER,1.546
