ZIP_Code,zip5_pop,zip5_HH,pop_growth,hh_avg_size,hh_med_age,med_rent,med_value,med_vehicles,med_income,avg_income,percap_income,pop_med_age,income_200k,high_inc_avg
00501,0,0,,,,,,,,,,,,
01001,16284,6873,0.79,2.27,55.4,666.07,211969,2.1,71275,82532,35600,46.9,4.12,259019
01002,38415,9671,1.08,2.47,46.2,950.02,319807,2,69770,92101,36883,34.3,11.14,301331
01003,0,0,,,,,,,,,,,,
01004,0,0,,,,,,,,,,,,
01005,4771,1766,1.99,2.64,54,759.21,221168,2.4,86757,96397,36362,41.4,8.37,238050
01007,14813,5703,1.12,2.6,52.8,901.36,252676,2.4,84926,98184,37696,42.3,8.29,278617
01008,1637,649,2.08,2.53,55,746.34,255603,2.6,84404,90595,35612,46.3,5.06,221390
01009,711,282,2.01,2.53,52.3,805,224717,2.3,55355,79275,32367,41.7,8.2,236838
01010,3504,1374,1.92,2.53,54.3,839.95,258610,2.2,87715,103373,40732,45.5,8.62,279664
01011,892,370,2.26,2.42,55.1,585.4,218988,2.5,73908,82521,34192,47,3.81,233951
01012,769,318,0.37,2.42,55.4,850.63,255209,2.3,70859,82207,34032,47.1,5.02,220273
01013,23089,9512,1.05,2.36,50.5,657.49,178507,1.8,50523,60674,25721,37.6,1.84,259996
01014,0,0,,,,,,,,,,,,
01020,30004,13273,0.94,2.26,54.2,685.42,186955,2,60979,70560,31267,43.4,2.71,228731
01021,0,0,,,,,,,,,,,,
01022,2722,1084,1.22,2.04,57,1036.28,149831,1.9,70325,73644,36379,39.8,1.75,238783
01026,984,448,1.2,2.22,55.9,615.85,263061,2.4,62829,84068,37621,48.4,5.1,424160
01027,18117,7982,0.72,2.26,53.2,761.6,235065,2.2,69523,79656,34964,44,4.37,280251
01028,15241,5658,0.75,2.61,56.2,656.18,285293,2.4,93261,107626,40712,46.1,12.73,274820
01029,700,308,-0.12,2.27,56.3,1035,310663,2.4,71656,80344,35354,49.6,9.8,213341
01030,11941,4595,1.34,2.58,54.1,502.99,247694,2.3,84563,94239,36032,43.8,6.45,299144
01031,1631,590,1.17,2.55,53.9,529.19,229961,2.4,70057,93824,35578,39.9,10.57,319467
01032,267,105,1.8,2.54,54.8,883.37,247211,2.3,76298,90187,35768,46.5,5.38,325532
01033,6109,2313,1.14,2.64,54.2,744.03,236057,2.3,82069,88989,33992,44.4,3.18,237471
01034,1581,614,0.73,2.54,55.2,816.8,290152,2.6,81836,91154,35902,46.7,7.56,222694
01035,7484,2228,1.81,2.42,56.6,865.23,328958,2.4,88194,101510,41216,46.4,6.13,291434
01036,4764,1766,1.66,2.65,56.4,759.91,270387,2.7,93191,106490,39710,47.9,11.28,250373
01037,785,276,1.27,2.55,55.5,342,241839,2.4,79403,99181,36608,41.2,12.8,263918
01038,2736,1169,1.36,2.24,56.7,701.49,302359,2.2,61528,83216,36952,48.7,6.23,361179
01039,1522,698,1.98,2.18,55.5,617.7,279437,2.3,67672,95622,43796,48.6,9.01,372729
01040,40961,15779,1,2.51,50.7,629.54,169918,1.6,45775,57421,23536,37.3,2.56,309618
01041,0,0,,,,,,,,,,,,
01050,2235,888,-0.5,2.51,53,478.77,216836,2.3,69537,80104,31965,43.5,4.41,286646
